object,filter,telescope,file,x,y,flux,fwhm_x_pix,fwhm_y_pix,fwhm_avg_pix,fwhm_avg_arcsec
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1729.3095543857205,1656.6806589877644,9867.708770751953,11.108974415661802,11.151989115777933,11.130481765719868,2.5600108061155695
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,180.45447920119338,1596.1897224911331,9614.574127197266,11.376666172510248,10.916927871918432,11.14679702221434,2.5637633151092984
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1975.7477039867886,1058.862462342927,7162.42610168457,11.477402125017727,11.115848734879691,11.296625429948708,2.5982238488882032
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1591.322180347893,2244.9828332905677,7097.463293552399,1.4009825788564076,1.3518599138216583,1.3764212463390328,0.31657688665797756
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,642.6171949618349,451.8746806382226,5764.9918375611305,1.2710945314624684,1.3741777415065612,1.322636136484515,0.30420631139143844
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,2244.0650540554757,843.1583652057794,5671.846694946289,11.229149923537818,11.335391772885448,11.282270848211633,2.5949222950886757
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1249.5216562389141,1097.5168991413009,939305.59375,7.796204320026391,7.240775573320308,7.518489946673349,1.7292526877348704
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1714.7828680906011,947.8611782837366,750233.00390625,7.348529762929436,7.698942347276169,7.523736055102803,1.7304592926736446
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1452.1807640050556,399.51803149474785,403398.16796875,7.691831931388865,8.101808032344971,7.896819981866918,1.8162685958293914
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1587.464244381702,1921.457001366096,317611.63525390625,7.817171987600314,7.270729272776767,7.54395063018854,1.7351086449433644
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,280.98784849292196,1380.3869044539088,297225.8525390625,7.740682612097818,7.202765286782688,7.471723949440253,1.7184965083712584
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1340.056968049403,910.4030803030219,251608.6767578125,7.503565050427546,7.542433142662395,7.52299909654497,1.730289792205343
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1329.3839780473052,559.6263640929324,210795.49951171875,7.564102496477826,7.446311537089511,7.505207016783668,1.7261976138602437
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1847.9150099185506,1039.5556261148188,171951.8173828125,7.597120293929924,7.520171762729161,7.558646028329543,1.7384885865157949
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,612.4776892687931,76.27652649707927,158560.62646484375,7.409729842879246,7.2532160257203975,7.331472934299821,1.686238774888959
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1182.7506145360273,1979.0422329006524,140676.47119140625,8.060470362063649,7.1822092750418545,7.621339818552752,1.7529081582671329
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1260.5577282991383,950.382786577159,108047.185546875,7.510122472894726,7.539492044405224,7.524807258649975,1.7307056694894944
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,2176.619286465804,1091.2771716968564,95956.95776367188,7.818781482310822,7.452497781633193,7.6356396319720075,1.7561971153535618
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,416.2016658123817,1428.86807030219,85480.2705078125,7.507179688437118,7.543400972163657,7.525290330300388,1.7308167759690893
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,91.49146930023507,1344.6468011569964,77983.94067382812,7.530402569765344,7.401346796231707,7.465874682998526,1.717151177089661
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,658.5095761459636,1624.1987292655426,68051.78405761719,7.456251787742667,7.560382306364829,7.5083170470537475,1.726912920822362
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1731.2715062334041,1660.3329494818536,67525.66125488281,7.4080855228457185,7.719168001265841,7.5636267620557796,1.7396341552728294
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,179.97290425003496,1600.865655152537,62997.36962890625,7.6444077219138205,7.335226201138971,7.489816961526396,1.722657901151071
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1670.2649777641116,552.2043616524193,62414.85925292969,7.388259629820708,7.708813789387348,7.5485367096040275,1.7361634432089263
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1979.6933373558475,1061.0569440830054,45458.269287109375,7.358435593962181,7.68965760377602,7.5240465988691,1.7305307177398932
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,1049.7085282725163,2176.7608761661827,40588.56018066406,7.323269893799296,7.878514518939639,7.600892206369467,1.7482052074649777
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,2248.5864223633716,844.716845577276,40051.56640625,7.984283698602994,7.238557403214423,7.611420550908708,1.750626726709003
PTF13ebh,V,dup,PTF13ebh_V_comb_dup.fits,2095.095895065103,1283.1170331329122,28708.0859375,7.783059208540976,7.3964791124348395,7.589769160487908,1.745646906912219
