telescope,filter,file,n_stars,median,mean,std,max,mad_sigma
dup,V,LSQ13dqh_V_comb_dup.fits,25,1.3508986878731697,1.378250287305644,0.14682074140667586,2.070821192782248,0.01833391276340277
dup,B,SN07ca_B_comb_dup.fits,18,1.3504372958916018,0.9249336757581911,0.5182743676567381,1.4234187656852035,0.10680185576736334
swo,V,SN06gt_V_comb_swo.fits,25,1.3490978733763794,1.2266536939544448,0.6483097097556271,2.9113842388627558,0.8076909090413713
dup,V,CSP13P_V_comb_dup.fits,25,1.3447923701303657,1.374935781819827,0.14677517196161682,2.06330295874605,0.02144800264348084
dup,B,LSQ14jp_B_comb_dup.fits,25,1.3392292379921742,1.3699619195850599,0.20066352051790987,2.311408939078058,0.049325292807401014
dup,B,PTF13anh_B_comb_dup.fits,25,1.3384671026163475,1.3467471783912977,0.08819117810386513,1.587745798863646,0.08764054375901759
dup,B,PTF11ppn_B_comb_dup.fits,25,1.3384397020585082,1.3520789950752663,0.09695925858483836,1.5959043200430716,0.04749838521296497
swo,V,SN06eq_V_comb_swo.fits,25,1.338193229673356,1.4629224453467253,0.26768248126541827,2.2772300944668262,0.032426478630719624
dup,V,SN08bq_V_comb_dup.fits,25,1.3361500578410903,1.4683181089403394,0.32133574680400695,2.506278356572143,0.11214663842221348
dup,V,SN08J_V_comb_dup.fits,25,1.3354099805092872,1.4579275712664272,0.34779682284441776,2.761399662559055,0.028427482023587896
dup,B,CSP13aao_B_comb_dup.fits,25,1.3315269925278634,1.3172908112946065,0.31171854894314005,2.498234964253821,0.08981090584437358
dup,V,ASAS15dd_V_comb_dup.fits,25,1.33030581364532,1.3692189777426116,0.15676337627282005,2.1110922986035856,0.0194618053547647
dup,V,CSP14abh_V_comb_dup.fits,25,1.3302744157797728,1.435647224363137,0.29835139962330054,2.3392832350502437,0.04248537108474565
swo,V,SN06ob_V_comb_swo.fits,25,1.32656172782641,1.157779628851752,0.4423747879486573,2.1612945653828657,0.027598446222350234
dup,B,LSQ13dqh_B_comb_dup.fits,25,1.3259883155565222,1.2551419555883,0.2653630562188391,1.3731073574628945,0.025450702806030553
dup,B,SN2011jt_B_comb_dup.fits,25,1.3195464328355513,1.3207528023269,0.24882624555168087,2.0173986912890154,0.044273944911060265
dup,B,SN05iq_B_comb_dup.fits,23,1.316284364082688,1.2666517475212076,0.2975190922153413,1.978447844470538,0.19435896081323353
dup,B,LSQ14wp_B_comb_dup.fits,25,1.3160047784394195,1.315888049549255,0.06370088477714214,1.4675204244168805,0.07508435565708886
dup,B,CSP14aaw_B_comb_dup.fits,23,1.312268264539822,1.1745294705722322,0.5080060360875196,2.363297091936357,0.098419627414858
dup,V,ASAS14hp_V_comb_dup.fits,25,1.3119689673382915,1.3521312392365388,0.17350107651271893,2.1673664717228536,0.009675149102381536
dup,B,SN08bq_B_comb_dup.fits,22,1.3110471468456537,1.3221970021175133,0.3162601015400545,2.266296258310876,0.10296582677993044
dup,B,SN05al_B_comb_dup.fits,24,1.3075972578058286,1.2060750241908464,0.3889211063857064,1.5694104046780508,0.09729762677929064
