object,telescope,filter,file,plate_scale,z,n_stars,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
LSQ14asu,dup,B,LSQ14asu_B_comb_dup.fits,0.23,0.0684,23,1.009099466795698,0.4285250879043012,0.5607479958353598,1.0
LSQ14asu,dup,V,LSQ14asu_V_comb_dup.fits,0.23,0.0684,25,0.9587593909631165,0.40714762598791937,0.5327744436116569,1.0
LSQ14asu,swo,V,LSQ14asu_V_comb_swo.fits,0.43,0.0684,25,1.5270246615470615,0.6484676673146766,0.8485546239289063,1.0
LSQ14auy,dup,B,LSQ14auy_B_comb_dup.fits,0.23,0.0825,25,0.9839859040856377,0.41786033975802395,0.6487610491998709,1.0
LSQ14auy,dup,V,LSQ14auy_V_comb_dup.fits,0.23,0.0825,24,0.9261339029022319,0.3932928568603465,0.6106180993565649,1.0
LSQ14azy,dup,B,LSQ14azy_B_comb_dup.fits,0.23,0.0458,16,1.1701711802368568,0.49692594672196166,0.4471620767424323,1.0
LSQ14azy,dup,V,LSQ14azy_V_comb_dup.fits,0.23,0.0458,23,1.01614643884184,0.4315176613967055,0.3883040016204909,1.0
LSQ14ba,dup,B,LSQ14ba_B_comb_dup.fits,0.23,0.07755,24,1.0249645628469624,0.4352623738743023,0.6388964158118956,1.0
LSQ14ba,dup,V,LSQ14ba_V_comb_dup.fits,0.23,0.07755,25,0.8907621722352284,0.3782718658756453,0.5552433516346641,1.0
LSQ14bbv,dup,B,LSQ14bbv_B_comb_dup.fits,0.23,0.0588,25,0.9924034677322846,0.4214349499132285,0.47944451634303037,1.0
LSQ14bbv,dup,V,LSQ14bbv_V_comb_dup.fits,0.23,0.0588,25,0.9187699117302397,0.39016565774059575,0.4438710769185508,1.0
LSQ14bjj,dup,B,LSQ14bjj_B_comb_dup.fits,0.23,0.08114,25,1.1348561213184742,0.48192902201304255,0.7370607015379569,1.0
LSQ14bjj,dup,V,LSQ14bjj_V_comb_dup.fits,0.23,0.08114,25,1.047226068550247,0.44471596492482013,0.6801471713063723,1.0
LSQ14fms,dup,B,LSQ14fms_B_comb_dup.fits,0.23,0.078,21,1.084527006987492,0.46055621501779687,0.6795906167950505,1.0
LSQ14fms,dup,V,LSQ14fms_V_comb_dup.fits,0.23,0.078,25,0.9923514769977732,0.42141287148111173,0.6218312204171544,1.0
LSQ14foj,dup,B,LSQ14foj_B_comb_dup.fits,0.23,0.04607,14,1.0138526692161642,0.43054358712274304,0.38958649245882115,1.0
LSQ14foj,dup,V,LSQ14foj_V_comb_dup.fits,0.23,0.04607,21,0.9122615545410705,0.38740181291818443,0.3505487434515114,1.0
LSQ14fom,swo,V,LSQ14fom_V_comb_swo.fits,0.43,0.05626,25,1.574676878711113,0.6687037007494205,0.7300694234482151,1.0
LSQ14gfb,dup,B,LSQ14gfb_B_comb_dup.fits,0.23,0.0527,25,1.0899489095013768,0.46285868501983624,0.4753524095312241,1.0
LSQ14gfb,dup,V,LSQ14gfb_V_comb_dup.fits,0.23,0.0527,25,0.8675147603513294,0.36839959901901026,0.37834363431361007,1.0
LSQ14gfb,swo,V,LSQ14gfb_V_comb_swo.fits,0.43,0.0527,25,1.7131843325904519,0.7275224007904755,0.7471600672003651,1.0
LSQ14gfn,dup,B,LSQ14gfn_B_comb_dup.fits,0.23,0.1217,22,0.8584117177882356,0.3645338927701176,0.7982058239090697,1.0
LSQ14gfn,dup,V,LSQ14gfn_V_comb_dup.fits,0.23,0.1217,24,0.7333942054655929,0.31144384345341936,0.6819565878389083,1.0
LSQ14gfn,swo,V,LSQ14gfn_V_comb_swo.fits,0.43,0.1217,24,1.4378450401182965,0.6105965690042353,1.336999788234861,1.5
