object,z,radius_kpc,B,V,instrumental_B_minus_V
SN08gp,0.033,3.0,36555.77656529564,95948.41732642788,1.047704503092674
SN08gp,0.033,3.5,50388.491803790144,131113.12390841174,1.0382870137797775
SN08gp,0.033,4.0,65671.27684327526,170520.42944117665,1.036002393437649
SN08gp,0.033,4.5,82829.16317132753,212766.7933981154,1.0243014367925842
SN08gp,0.033,5.0,101298.56153301078,258112.74386672772,1.0155154232530668
SN08gp,0.033,5.5,121432.14554932545,305177.5811357541,1.0005473948387427
SN08gp,0.033,6.0,143479.7149124921,355556.04247873666,0.9852938963804476
SN08gp,0.033,6.5,167192.1050090482,409159.0620681846,0.9716910216302234
SN08gp,0.033,7.0,192586.053837258,468857.4519197829,0.9660399714710527
SN08gp,0.033,7.5,219481.53239290716,531911.3225993206,0.9611031283994733
SN08gp,0.033,8.0,248414.6519732168,597385.3496680291,0.9526933998482143
SN08gp,0.033,8.5,279816.6717403165,668083.1111742434,0.944892266331973
SN08gp,0.033,9.0,314681.5044070484,746896.7591723857,0.9384733931698642
SN08gp,0.033,9.5,354189.6365729044,837552.9813417876,0.9344410977333261
SN08gp,0.033,10.0,402045.8206418467,943796.4065529576,0.9265069189380236
SN08hj,0.038,1.0,411.5431174584605,919.324551357592,0.8726337885644693
SN08hj,0.038,1.5,1029.181376600619,2401.57320284629,0.9200097752455876
SN08hj,0.038,2.0,2065.667834299403,4731.418355004049,0.8998271585530229
SN08hj,0.038,2.5,3605.351531849631,7910.677005403107,0.8531650912373994
SN08hj,0.038,3.0,5327.223270603465,12242.621115774702,0.903433775444143
SN08hj,0.038,3.5,7463.338788092495,17727.590496873294,0.9392913869773429
SN08hj,0.038,4.0,10678.596883632445,25952.509481101377,0.9641629153555941
SN08hj,0.038,4.5,15537.523021551198,37856.62467126855,0.9669002603917863
SN08hj,0.038,5.0,22943.32229211569,53535.393369392856,0.9199617307844297
SN08hj,0.038,5.5,32445.742503357254,73902.078700062,0.8937473427358401
SN08hj,0.038,6.0,45698.18373263436,99169.39176843458,0.8411967753908516
SN08hj,0.038,6.5,60284.611257048426,125895.53516997896,0.7995096589788764
SN08hj,0.038,7.0,75071.22021055162,151996.7075773963,0.7659017644199726
SN08hj,0.038,7.5,88738.48197984605,176799.16355449546,0.7484205272571393
SN08hj,0.038,8.0,101027.03651830276,198691.6040877277,0.7343547554334275
SN08hj,0.038,8.5,111385.87456802667,220029.7677406762,0.7391283029440325
SN08hj,0.038,9.0,121014.07905282071,239987.25821486305,0.7433807100203313
SN08hj,0.038,9.5,131540.83699400665,263950.4231139262,0.75615440391798
SN08hj,0.038,10.0,144203.32575220417,294019.71609576454,0.7735029432292352
SN08hu,0.05,1.0,266.28224297717657,1036.8574965388048,1.4759421637530425
SN08hu,0.05,1.5,626.8018641747009,2198.9052053401765,1.3626905698040501
SN08hu,0.05,2.0,1126.5941385411938,3853.4743619855512,1.335212466306358
SN08hu,0.05,2.5,1834.524126281634,6142.505596512745,1.3120553329985842
SN08hu,0.05,3.0,2826.300877845093,8966.513258725652,1.253513004008627
SN08hu,0.05,3.5,5515.13464274064,13221.399481935288,0.9493032701831129
SN08hu,0.05,4.0,10511.774715142552,22914.55630931064,0.8460885195769217
SN08hu,0.05,4.5,15946.889281979473,38369.27487901294,0.9532690320124736
SN08hu,0.05,5.0,19557.43712450788,50943.47236617087,1.039441502378928
SN08hu,0.05,5.5,23209.114224283217,62490.24313442376,1.0753841211995314
SN08hu,0.05,6.0,29011.58068689805,78488.83823416113,1.0805912725030444
SN08hu,0.05,6.5,39381.25988917264,105120.40881609808,1.0659935879635452
SN08hu,0.05,7.0,56599.6420984891,154939.8469082642,1.0933735938308269
SN08hu,0.05,7.5,77946.67343181385,232111.2504471934,1.184746514811181
SN08hu,0.05,8.0,95828.36728431254,302784.86587922846,1.2491001881387938
SN08hu,0.05,8.5,107138.35301439711,349898.3648141382,1.2849923675023174
SN08hu,0.05,9.0,115706.2693759517,385183.77615357767,1.305777738140323
SN08hu,0.05,9.5,124163.96246246088,422434.47462165833,1.3294094741098752
SN08hu,0.05,10.0,135899.25580282387,472140.1859200778,1.3521347205236962
SN08hv,0.013,1.0,,68881.392714694,
SN08hv,0.013,1.5,,150104.42910280684,
SN08hv,0.013,2.0,,261247.33622932457,
SN08hv,0.013,2.5,,407585.287093328,
SN08hv,0.013,3.0,,590938.4067371793,
SN08hv,0.013,3.5,,810563.9877417992,
SN08hv,0.013,4.0,,1074775.5819494263,
SN08hv,0.013,4.5,,1389184.5453279803,
SN08hv,0.013,5.0,,1763792.0690200874,
SN08hv,0.013,5.5,,2203037.3308719983,
SN08hv,0.013,6.0,,2701335.3554461086,
SN08hv,0.013,6.5,,3258239.429742641,
SN08hv,0.013,7.0,,3866977.501194556,
SN08hv,0.013,7.5,,4534487.609622385,
SN08hv,0.013,8.0,,5274345.05033789,
SN08hv,0.013,8.5,,6113962.437314119,
SN08hv,0.013,9.0,,7083565.02782812,
SN08hv,0.013,9.5,,8250491.422355306,
SN08hv,0.013,10.0,,9783477.730337825,
SN08ia,0.022,1.0,64847.642281844746,202645.9053494265,1.2371091053187169
SN08ia,0.022,1.5,159562.7926211498,500917.2823739937,1.2420859678493843
SN08ia,0.022,2.0,342375.155071628,1080801.5310591336,1.2481092731690555
SN08ia,0.022,2.5,671644.7345316303,2115923.154754834,1.2459006918517737
SN08ia,0.022,3.0,953861.3618675407,2935103.315432414,1.220345339607776
SN08ia,0.022,3.5,1148727.5255971171,3500513.253002288,1.2097867464025165
SN08ia,0.022,4.0,1301753.103310562,3946134.58940155,1.2041081795283795
SN08ia,0.022,4.5,1433974.0982557952,4327774.546732791,1.1993083038788495
SN08ia,0.022,5.0,1652089.9650050688,4860296.568861492,1.1715726922338128
SN08ia,0.022,5.5,2041091.524597548,5794276.839159018,1.1328419043649625
SN08ia,0.022,6.0,2147719.1396150985,6086248.534217781,1.1309304888673006
SN08ia,0.022,6.5,2216078.2519941656,6285374.55650166,1.1318651786329623
SN08ia,0.022,7.0,2272907.0203448297,6452886.973270815,1.132930970394759
SN08ia,0.022,7.5,2321640.414491156,6598717.306132842,1.1341614200677648
SN08ia,0.022,8.0,2365113.3965356047,6729930.168789614,1.1353964746910685
SN08ia,0.022,8.5,2403577.713710418,6841214.328427357,1.1356875703171478
SN08ia,0.022,9.0,2438465.202152572,6942301.030031014,1.1359671976843215
SN08ia,0.022,9.5,2482671.4846537905,7055957.5643420825,1.1340917603717584
SN08ia,0.022,10.0,2579359.0259089665,7260338.065114259,1.123612616800742
SN09D,0.025,1.0,-143.82434184331402,-400.9503863551101,
SN09D,0.025,1.5,-358.2553438496782,-1008.6664012791344,
SN09D,0.025,2.0,-892.464528019869,-1928.9223043489865,
SN09D,0.025,2.5,-1820.5170000944197,-3248.599214872156,
SN09D,0.025,3.0,-2906.781760170269,-4778.531742056583,
SN09D,0.025,3.5,-3807.889006367454,-6620.748437216739,
SN09D,0.025,4.0,-5240.514615999633,-8710.145543091083,
SN09D,0.025,4.5,-6631.00865006306,-10981.245280302275,
SN09D,0.025,5.0,-8447.244046563967,-13294.827861751735,
SN09D,0.025,5.5,-9080.282290582689,-12673.850045900494,
SN09D,0.025,6.0,-8695.987043397408,-9937.705414234984,
SN09D,0.025,6.5,-9553.739688764184,-10815.36625851174,
SN09D,0.025,7.0,-10769.928826057336,-12426.991595260732,
SN09D,0.025,7.5,-11588.183326031249,-13702.785316296256,
SN09D,0.025,8.0,-13479.506329004593,-15057.574895194291,
SN09D,0.025,8.5,-15807.88875431612,-18083.36480248843,
SN09D,0.025,9.0,-17512.128585645467,-20423.815017816956,
SN09D,0.025,9.5,-18984.279236446502,-21846.28193988617,
SN09D,0.025,10.0,-18893.35773943281,-19723.422564916214,
SN09F,0.013,1.0,108960.36275803372,303943.31761471514,1.1138101478367584
SN09F,0.013,1.5,250882.38193174588,708324.5089190515,1.1269052622096316
SN09F,0.013,2.0,450420.6017580556,1291960.1443733608,1.1440771746713876
SN09F,0.013,2.5,729535.1384449936,2114946.920080992,1.155633143444853
SN09F,0.013,3.0,1214882.2336090386,3495152.8413034705,1.1473299774437349
SN09F,0.013,3.5,1944809.155164276,5762448.955690438,1.1793252527948759
SN09F,0.013,4.0,2444188.6819164697,7297090.588514567,1.187537522607586
SN09F,0.013,4.5,2812257.627185827,8402552.668715114,1.1883903501882518
SN09F,0.013,5.0,3114342.5149919875,9291771.569432544,1.186830374940175
SN09F,0.013,5.5,3372564.764542774,10042891.11742335,1.184746139675148
SN09F,0.013,6.0,3586705.420712781,10658640.445505347,1.1825152574536915
SN09F,0.013,6.5,3762894.432291208,11161980.51968,1.1805480646017672
SN09F,0.013,7.0,3906224.0572642153,11572180.450342562,1.1791451170040925
SN09F,0.013,7.5,4035301.521101528,11932758.950670715,1.177162191426047
SN09F,0.013,8.0,4146052.9885036633,12229653.256020812,1.1744482387468254
SN09F,0.013,8.5,4316858.057974313,12681138.705758335,1.1699762098909552
SN09F,0.013,9.0,4386382.170499655,12871104.616428534,1.1687733817156731
SN09F,0.013,9.5,4431265.105010904,13001950.56901497,1.1687019441886912
SN09F,0.013,10.0,4462433.278607119,13103316.310172625,1.1695237230033055
SN09I,0.026,1.0,20580.609424411705,41833.92598175645,0.7701759822357414
SN09I,0.026,1.5,46667.76974210358,95801.85779546568,0.7808922115642165
SN09I,0.026,2.0,87654.79886782497,177316.9836018602,0.7649365930257689
SN09I,0.026,2.5,149212.92723677968,293338.2332740931,0.7339055539905424
SN09I,0.026,3.0,227911.37210095997,441968.3140986363,0.7190628474873971
SN09I,0.026,3.5,322020.83264518296,616088.5276193684,0.7043978827775405
SN09I,0.026,4.0,429901.8412738801,817472.9017050922,0.6977601499882115
SN09I,0.026,4.5,563984.437238622,1064384.2930298743,0.6895783425289583
SN09I,0.026,5.0,724845.2689551705,1347788.3127545936,0.6734409436872919
SN09I,0.026,5.5,905589.438147912,1673060.5530806931,0.6664507773796731
SN09I,0.026,6.0,1114124.5243677488,2057879.2596040736,0.6662153900386326
SN09I,0.026,6.5,1350062.0023863292,2494089.474951049,0.666395788667655
SN09I,0.026,7.0,1611752.2335173446,2995215.003123848,0.6728243043554181
SN09I,0.026,7.5,1853906.842200914,3477556.3496373845,0.6829656716133135
SN09I,0.026,8.0,2063380.1581957457,3889203.373163986,0.688203509429422
SN09I,0.026,8.5,2252086.256700128,4251494.951587108,0.6898916184736712
SN09I,0.026,9.0,2422075.5013918206,4579157.720617254,0.6914948133207587
SN09I,0.026,9.5,2561997.7988624293,4856548.998527533,0.6943725561942454
SN09I,0.026,10.0,2672207.0451986752,5080003.069591756,0.6974846751018899
SN09P,0.025,1.0,82053.8573323315,162540.10145969733,0.7421538113997977
SN09P,0.025,1.5,168346.34375326725,332444.18106611934,0.7387876178133796
SN09P,0.025,2.0,273853.5141027697,543492.3178297826,0.7441877289943893
SN09P,0.025,2.5,381451.9717339774,757900.2272116854,0.7454304328703582
SN09P,0.025,3.0,481473.2629083171,951998.0392967176,0.7401596974111682
