object,z,radius_kpc,B,V,instrumental_B_minus_V
LSQ12hzj,0.029,4.5,71211.68945299581,186130.8568448631,1.0431677183673576
LSQ12hzj,0.029,5.0,75581.27077806745,196649.20514027367,1.0381950142854062
LSQ12hzj,0.029,5.5,79172.38710662426,206327.12151797,1.039956449778868
LSQ12hzj,0.029,6.0,82246.38311250659,214564.4832652042,1.0411025666636213
LSQ12hzj,0.029,6.5,84790.48830850949,221222.41942531144,1.0412050033864375
LSQ12hzj,0.029,7.0,86734.33632740818,226123.1968573256,1.040385142600972
LSQ12hzj,0.029,7.5,87817.42747866863,230289.85594604857,1.0467352434340325
LSQ12hzj,0.029,8.0,88922.62288632945,233696.8579214298,1.049101522526751
LSQ12hzj,0.029,8.5,89961.4931502051,236289.93611322663,1.0484714244515492
LSQ12hzj,0.029,9.0,91092.02626358562,238020.48284162348,1.0428349229183465
LSQ12hzj,0.029,9.5,91610.11062813632,240175.3648489356,1.0464626287842305
LSQ12hzj,0.029,10.0,92048.2581672916,242688.07507690004,1.0525821556365884
LSQ12hzs,0.072,1.0,675.3733893551766,1213.7658253647303,0.6364774013823946
LSQ12hzs,0.072,1.5,1462.1895051986892,2572.6419944610047,0.6134392302642077
LSQ12hzs,0.072,2.0,2449.0113526363752,4437.234623683728,0.6453039869488533
LSQ12hzs,0.072,2.5,3670.7983618404983,6545.024962506092,0.6278769451347266
LSQ12hzs,0.072,3.0,5072.755970833434,9133.996735775994,0.6385422033650688
LSQ12hzs,0.072,3.5,6725.521464009295,12303.936028595956,0.6557952535096765
LSQ12hzs,0.072,4.0,8571.26526432673,15849.728899832338,0.6674422559299164
LSQ12hzs,0.072,4.5,10635.844124580572,20061.067928620098,0.6889552116335969
LSQ12hzs,0.072,5.0,13035.337549440132,24702.55900706076,0.6940491592085251
LSQ12hzs,0.072,5.5,15806.463010177253,30230.992903995662,0.704044279994217
LSQ12hzs,0.072,6.0,19077.4340579314,37028.66676002311,0.7200452855526143
LSQ12hzs,0.072,6.5,22786.527470109915,45008.37989157368,0.7390380853255151
LSQ12hzs,0.072,7.0,27007.057884227168,54360.76552515716,0.7595207217929222
LSQ12hzs,0.072,7.5,31215.77240843566,63347.93056184784,0.7683958658602064
LSQ12hzs,0.072,8.0,35175.64924357344,71242.73637768441,0.7662461749666241
LSQ12hzs,0.072,8.5,38935.98637468444,78817.21008847383,0.7656746917969508
LSQ12hzs,0.072,9.0,42773.40044631577,86296.98793548017,0.762054649874897
LSQ12hzs,0.072,9.5,46538.78145582277,93760.69662046758,0.7605145440174326
LSQ12hzs,0.072,10.0,50386.87178182187,101191.80574362472,0.7570698735052949
LSQ13cwp,0.0665,1.0,0.7568274913676607,283.84864531551835,6.43522481666814
LSQ13cwp,0.0665,1.5,46.08931549744821,562.7472487528286,2.7167828056236676
LSQ13cwp,0.0665,2.0,209.5425225239133,1043.2656846292746,1.742806887347713
LSQ13cwp,0.0665,2.5,232.2467801807768,1653.3162267397418,2.13101556619268
LSQ13cwp,0.0665,3.0,349.1077687149183,2281.950642853615,2.0383668334199148
LSQ13cwp,0.0665,3.5,644.9757552918578,3286.2736343318907,1.767900831833532
