object,offset_kpc,n_radii,rho_colour_vs_radius,slope_mag_per_kpc,colour_range,step_at_nucleus_entry,offset_bin
LSQ12gyc,3.001934072161524,18,-0.9587203302373581,-0.10075788206215641,1.5573080423392465,-0.4307163379042107,"(2.0, 5.0]"
LSQ12hjm,4.398596656612187,19,0.9859649122807018,0.017704808078541405,0.17445377385479988,0.10032779904917255,"(2.0, 5.0]"
LSQ12hno,2.2687799065382515,19,-0.9947368421052631,-0.02848493596486985,0.336287742772447,-0.21450774101453796,"(2.0, 5.0]"
LSQ12hxx,0.9536730227405682,18,0.7358101135190918,0.007839375545950624,0.10146428268558061,,"(0.0, 2.0]"
LSQ12hzj,1.2027918363046863,19,0.8666666666666666,0.0023108447599309266,0.02917672233026436,,"(0.0, 2.0]"
LSQ12hzs,5.880318007903076,19,0.9157894736842105,0.018937878801103102,0.1549566355959987,0.10996492378816769,"(5.0, 10.0]"
LSQ13cwp,3.584319794077636,18,-0.9360165118679051,-0.24178315030968947,5.012799456693752,-0.45313413249753176,"(2.0, 5.0]"
LSQ13dhj,21.56432829439068,18,0.7874097007223942,0.057709451446589684,0.5716550636159557,,"(10.0, 45.0]"
LSQ14act,6.206364643672926,18,-0.2053663570691434,-0.012999008608824573,0.419758527011896,0.01837161740280635,"(5.0, 10.0]"
LSQ14ahc,8.107433019008687,19,0.7684210526315789,0.0055805426036763415,0.05613794031168362,0.031022058203191927,"(5.0, 10.0]"
LSQ14ajn,0.4679615269367295,19,0.01754385964912281,9.471107146039615e-05,0.013031415634124022,,"(0.0, 2.0]"
LSQ14asu,7.981124815932261,17,0.8161764705882354,0.006344539136693067,0.06757588827893457,0.011516525255942156,"(5.0, 10.0]"
LSQ14auy,12.098688651977293,18,0.05675954592363261,-0.0058984571292789115,0.2488506314559309,,"(10.0, 45.0]"
LSQ14azy,4.459761026042016,19,-0.756140350877193,-0.0031669061164944024,0.03155689495234004,-0.021154308513203546,"(2.0, 5.0]"
LSQ14bjj,1.6988988869141264,19,-0.943859649122807,-0.018420720327290988,0.17582409568328017,,"(0.0, 2.0]"
LSQ14fms,7.78101877981477,16,0.3323529411764706,0.004795605690433696,0.14216926679783648,0.06968004260256033,"(5.0, 10.0]"
LSQ14foj,5.926828194426727,19,0.8912280701754386,0.11398586933514135,1.3512913428831186,0.5171254266423821,"(5.0, 10.0]"
LSQ14gfb,5.82669135195514,19,-0.16842105263157894,-0.0023204298839668573,0.11025037096104762,0.0033935140266230235,"(5.0, 10.0]"
LSQ14gfn,6.9060558162534464,18,0.8968008255933952,0.0214617279127326,0.1578900706426316,0.12933998092544274,"(5.0, 10.0]"
LSQ14gov,6.628379769647499,18,0.5768833849329206,0.0326642948209639,0.4761472479288711,0.036403144244267605,"(5.0, 10.0]"
LSQ14ip,13.454587854976769,10,0.9636363636363635,0.5376443266819502,2.8360621166382822,,"(10.0, 45.0]"
LSQ14jp,7.173595622651559,19,0.6701754385964912,0.017922997546448646,0.24283226107414735,0.11461310183426132,"(5.0, 10.0]"
LSQ14mc,2.0108427256631085,17,0.44117647058823534,0.004387004295734085,0.09001117057389374,,"(2.0, 5.0]"
LSQ14q,9.805652441528563,19,0.5982456140350877,0.015685062723271134,0.35139283236838903,,"(5.0, 10.0]"
LSQ14wp,3.928810283670037,18,0.6491228070175438,0.0099825333835771,0.14112669278331158,0.055257625653258424,"(2.0, 5.0]"
LSQ14xi,4.337945802057566,19,0.975438596491228,0.011803329287905616,0.09424277089542943,0.0745034793333359,"(2.0, 5.0]"
LSQ15aae,12.710746584402653,19,0.9368421052631579,0.021373354543574936,0.21226966981940476,,"(10.0, 45.0]"
LSQ15agh,2.0229017842774675,18,-0.954592363261094,-0.01793812082513935,0.13646959264534697,,"(2.0, 5.0]"
LSQ15aja,0.2757386414827857,19,0.014035087719298246,0.00493541006358823,0.6203511002841237,,"(0.0, 2.0]"
LSQ15alq,13.344569655528137,19,0.7210526315789473,0.01840751098274448,0.3097513808807474,,"(10.0, 45.0]"
LSQ15bv,5.047337228983216,19,0.26491228070175443,0.0050567510305637615,0.1483286122454599,0.013458738254108926,"(5.0, 10.0]"
SN04dt,5.132055794061254,19,0.8,0.005304911822573048,0.044521778296847,0.032525554377163646,"(5.0, 10.0]"
SN04ef,6.812106856917237,19,0.7315789473684211,0.010890541068886213,0.11265165190956972,0.038178669987589675,"(5.0, 10.0]"
SN04ey,1.7156594276177997,19,0.4666666666666667,0.011395273373805645,0.14689221863885904,,"(0.0, 2.0]"
SN04gs,8.73663892106534,19,0.7526315789473684,0.008280375982151852,0.10998625352670843,0.04235392139028482,"(5.0, 10.0]"
SN04gu,2.761921175312917,19,-0.6263157894736843,-0.003323822505811948,0.07479706709218714,-0.012530974850790133,"(2.0, 5.0]"
SN05A,2.4009014672467712,19,-0.5087719298245614,-0.004957414817907429,0.09646982626359679,0.004499922730526018,"(2.0, 5.0]"
SN05M,4.613579212747207,19,0.887719298245614,0.015740515707552135,0.212789255868098,0.06777713809874897,"(2.0, 5.0]"
SN05W,1.998106117993111,19,0.9508771929824561,0.18659638115624808,1.6490237528033036,,"(0.0, 2.0]"
SN05ag,13.63803743362315,18,0.21775025799793604,0.0010031929401746562,0.05352020812063074,,"(10.0, 45.0]"
SN05al,4.2220950445492695,19,0.6789473684210526,0.0037138411975680755,0.03414586506423145,0.024865743025668907,"(2.0, 5.0]"
SN05am,5.896972091200347,19,0.9157894736842105,0.0251573771028038,0.3366958631163557,0.10641711952693189,"(5.0, 10.0]"
SN05be,4.7597244946704205,19,-0.1736842105263158,-0.008080814839065545,0.554166777582755,-0.14732130632985996,"(2.0, 5.0]"
SN05bg,0.3208057358564077,19,-0.9122807017543859,-0.0023657065723322592,0.023348100160330176,,"(0.0, 2.0]"
SN05bl,0.3110290851217607,19,0.8421052631578947,0.0029594437129196716,0.0345635633096717,,"(0.0, 2.0]"
SN05bo,4.070257242562431,19,0.9263157894736841,0.011375242113557596,0.1343712969388169,0.07306682457750113,"(2.0, 5.0]"
SN05hj,0.7596634969017623,19,-0.8245614035087718,-0.0032481275581279535,0.03303201642885889,,"(0.0, 2.0]"
SN05hk,0.0514962217379418,19,-0.6614035087719298,-0.03518878322082331,0.6855865186636603,,"(0.0, 2.0]"
SN05iq,13.320081323496042,19,0.7350877192982455,0.008487413268581682,0.1401304765575121,,"(10.0, 45.0]"
SN05ir,0.0521234362241662,17,0.7254901960784315,0.009811048481790808,0.08679081298289792,,"(0.0, 2.0]"
SN05kc,3.259665547554683,19,-0.02631578947368421,0.005702092170381669,0.18611597847272,0.06443353800619578,"(2.0, 5.0]"
SN05lu,2.2769070029870178,18,-0.8740970072239421,-0.007767890475038551,0.0698080090067007,,"(2.0, 5.0]"
SN06D,2.271830731715238,19,-0.10526315789473684,-0.004777767217032397,0.1342589743854401,-0.05500871453863465,"(2.0, 5.0]"
SN06ax,0.1839744039298186,19,-0.7701754385964912,-0.025411784094255645,0.21496839166813586,,"(0.0, 2.0]"
