telescope,filter,file,n_stars,median,mean,std,max,mad_sigma,flag_high_scatter,flag_very_soft,flag_few_stars,any_flag
dup,V,LSQ14ahc_V_comb_dup.fits,25,1.0222484098242663,1.0683740270895443,0.179112375048426,1.5349102306429243,0.1726696612309606,False,False,False,False
dup,B,SN08ia_B_comb_dup.fits,25,1.020286297209171,1.0921370877359022,0.142682714724331,1.4824283077673648,0.0615626839215685,False,False,False,False
dup,V,SN07N_V_comb_dup.fits,18,1.0193096724274209,0.8114420424662256,0.3435810452505301,1.184828545163991,0.1591582565055332,False,False,False,False
swo,V,KISS15m_V_comb_swo.fits,25,1.0188729512102468,1.1424544641365484,0.2888143016936245,1.8297964645256697,0.0429127697040656,False,False,False,False
dup,B,SN2012ij_B_comb_dup.fits,19,1.018649925839915,1.0047414298829072,0.2898106619098688,1.7721647530479467,0.0553512541787479,False,False,False,False
dup,V,PS15sv_V_comb_dup.fits,25,1.0178934319534898,1.054601023065583,0.0880521463562959,1.1738238993139467,0.1101783750246239,False,False,False,False
dup,V,SN05hk_V_comb_dup.fits,22,1.0176458032984237,0.9848901479955504,0.3724227933123246,1.8713529294196007,0.0935156595171544,False,False,False,False
dup,V,PTF11pra_V_comb_dup.fits,25,1.0168318748405734,1.2339231347202968,0.5554065239118142,3.409569162371247,0.0831460987709281,False,False,False,False
dup,B,SN05hc_B_comb_dup.fits,13,1.0162566509583637,0.947693970653839,0.346236483024754,1.6809870512700342,0.0429251467781904,False,False,False,False
dup,V,LSQ14azy_V_comb_dup.fits,25,1.014835627290778,1.141202473585016,0.4725191800864992,2.4835131562767025,0.0457688588892689,False,False,False,False
dup,B,LSQ12gdj_B_comb_dup.fits,22,1.0147567394569594,0.761755141950534,0.388788249564523,1.3727793698902235,0.3742819216370472,False,False,False,False
dup,B,LSQ14gov_B_comb_dup.fits,25,1.0131982398762571,1.0277258797182185,0.3440705907243819,2.356053884805125,0.0267637551434815,False,False,False,False
dup,V,SN08fu_V_comb_dup.fits,25,1.011864187369907,1.121547147309502,0.234708363540242,1.7726979941533068,0.0256740524130829,False,False,False,False
