object,telescope,filter,file,z,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
SN08bd,dup,B,SN08bd_B_comb_dup.fits,0.03,1.044775740925722,0.44367540659014154,0.2664937221472359,1.0
LSQ12gdj,dup,V,LSQ12gdj_V_comb_dup.fits,0.03,1.0441348613173147,0.4434032500787514,0.2663302512839658,1.0
SN2012gm,dup,V,SN2012gm_V_comb_dup.fits,0.0148,1.0433943117892912,0.4430887676495797,0.1337261500542321,1.0
LSQ12bld,dup,V,LSQ12bld_V_comb_dup.fits,0.083,1.0429565717371023,0.4429028765649881,0.6914079703839183,1.0
SN08R,dup,B,SN08R_B_comb_dup.fits,0.013,1.0428708669008278,0.44286648107206905,0.11765991807103869,1.0
SN2012id,dup,V,SN2012id_V_comb_dup.fits,0.0157,1.0424066055457684,0.44266932742712745,0.1415693241549929,1.0
SN09ag,dup,V,SN09ag_V_comb_dup.fits,0.009,1.042352721348318,0.4426464449153346,0.08181328205541596,1.0
SN05hk,dup,B,SN05hk_B_comb_dup.fits,0.013,1.0420320588711305,0.4425102720991298,0.11756528115367539,1.0
SN09P,dup,V,SN09P_V_comb_dup.fits,0.025,1.0414204663334627,0.4422505526615625,0.22269954960026492,1.0
LSQ14q,dup,V,LSQ14q_V_comb_dup.fits,0.06695,1.0403539069609835,0.4417976265983884,0.5668220980374628,1.0
