object,scales_B,scales_V,status
CSP13Q,0.23,"0.23,0.43",MISMATCH
CSP13U,0.23,"0.23,0.43",MISMATCH
CSP13Y,0.23,"0.23,0.43",MISMATCH
CSP13Z,-,0.43,missing one filter
CSP13aad,0.23,"0.23,0.43",MISMATCH
CSP13aae,-,0.159,missing one filter
CSP13aaf,0.23,"0.23,0.43",MISMATCH
CSP13aam,0.23,"0.23,0.43",MISMATCH
CSP13aao,0.23,"0.23,0.43",MISMATCH
CSP13aap,0.159,0.159,consistent
CSP13aaq,0.23,0.23,consistent
CSP13aaw,0.159,0.159,consistent
CSP13aax,0.23,0.23,consistent
CSP13aay,0.23,0.23,consistent
CSP13ab,-,0.43,missing one filter
CSP13aba,0.23,0.23,consistent
CSP13abl,0.23,"0.23,0.43",MISMATCH
CSP13abm,-,0.23,missing one filter
CSP13abs,0.23,0.23,consistent
