object,ned_resolved_name,z,ra_deg,dec_deg,ned_type,n_galaxies_nearby,nearest_galaxy,offset_arcsec,offset_kpc,verdict,error
LSQ12fuk,LSQ12fuk,0.02,74.56621,-16.2995,SN,0,,,,SN_POSITION,
LSQ12fvl,LSQ12fvl,0.056,75.2085,-38.65314,SN,2,,8.486902839473075,9.225739272369129,SN_POSITION,
LSQ12fxd,LSQ12fxd,0.031,80.57092,-25.59642,SN,1,,39.839687782811275,24.697723563212445,SN_POSITION,
LSQ12gdj,LSQ12gdj,0.03,358.6805,-25.67614,SN,1,,27.24740706655883,16.366160531264175,SN_POSITION,
LSQ12gef,LSQ12gef,0.065,25.14042,18.51011,SN,1,,3.8283483443558635,4.779587552687529,SN_POSITION,
LSQ12gln,LSQ12gln,0.112,80.74754,-33.46426,SN,1,,5.925375346744508,12.072728787911034,SN_POSITION,
LSQ12gpw,LSQ12gpw,0.058,48.2425,-11.71111,SN,2,,9.553524931666182,10.730782814258639,SN_POSITION,
LSQ12gxj,LSQ12gxj,0.036,43.24167,1.60667,SN,1,,16.91717930771238,12.10624969106145,SN_POSITION,
LSQ12gyc,LSQ12gyc,0.093,41.45833,-17.92944,SN,3,,1.7361670054925875,3.0019340721615237,SN_POSITION,
LSQ12gzm,LSQ12gzm,0.1,40.18333,-34.74056,SN,1,,5.013117652534761,9.24566830058159,SN_POSITION,
LSQ12hjm,LSQ12hjm,0.07,47.61971,-16.49361,SN,2,,3.2907406673892705,4.398596656612187,SN_POSITION,
LSQ12hno,LSQ12hno,0.048,55.68025,-2.66939,SN,1,,2.4119999999998143,2.2687799065382515,SN_POSITION,
LSQ12hnr,LSQ12hnr,0.1243,160.81167,-8.77806,SN,1,,41.1030471225742,91.65447248353088,SN_POSITION,
LSQ12hvj,LSQ12hvj,0.071,166.91096,-29.71142,SN,0,,,,SN_POSITION,
LSQ12hxx,LSQ12hxx,0.069,49.93429,-27.00711,SN,6,,0.7229695041956523,0.9536730227405682,SN_POSITION,
LSQ12hzj,LSQ12hzj,0.029,149.80167,-9.00231,SN,1,,2.069048574725599,1.2027918363046863,SN_POSITION,
LSQ12hzs,LSQ12hzs,0.072,60.47163,-26.66397,SN,5,,4.287073021096773,5.8803180079030755,SN_POSITION,
LSQ13abo,LSQ13abo,0.067,224.84008,-17.15161,SN,1,,9.581161351926037,12.300997489999029,SN_POSITION,
LSQ13aiz,LSQ13aiz,0.009,198.8117,-17.96545,SN,1,,28.992342650067012,5.358585240938477,SN_POSITION,
LSQ13cwp,LSQ13cwp,0.0665,60.96108,-2.65506,SN,20,,2.8111452965856802,3.584319794077636,SN_POSITION,
LSQ13dby,LSQ13dby,0.09993,51.67838,-34.63503,SN,3,,31.152399472839246,57.418612064676815,SN_POSITION,
LSQ13dcy,LSQ13dcy,0.083,73.8185,-20.00142,SN,4,,10.604587819549263,16.5546374364013,SN_POSITION,
LSQ13dhj,LSQ13dhj,0.0935,33.14379,-37.33967,SN,5,,12.412174063776991,21.564328294390677,SN_POSITION,
LSQ13dkp,LSQ13dkp,0.06894,47.54154,-36.62914,SN,6,,20.17683363108719,26.59409463597703,SN_POSITION,
LSQ13dpm,LSQ13dpm,0.05086,157.28483,-17.11389,SN,0,,,,SN_POSITION,
LSQ13dqh,LSQ13dqh,0.1038,65.52454,-2.89006,SN,0,,,,SN_POSITION,
LSQ13pf,LSQ13pf,0.085,207.05975,-11.64408,SN,2,,5.124053911998341,8.172852898187458,SN_POSITION,
