object,ned_resolved_name,z,ra_deg,dec_deg,ned_type,n_galaxies_nearby,nearest_galaxy,offset_arcsec,offset_kpc,verdict,error
SN07ca,SN2007ca,0.014,202.77421,-15.10183,SN,3,,0.0,0.0,SN_POSITION,
SN07cg,SN2007cg,0.033,201.38992,-24.65225,SN,1,,3.031581107224058,1.9958198878433577,SN_POSITION,
SN07hj,SN2007hj,0.014,345.44954,15.5865,SN,2,,15.610429344341325,4.460958441773122,SN_POSITION,
SN07hx,SN2007hx,0.0798,31.6115,-0.90012,SN,23,,0.1439822303343772,0.21690669556951048,SN_POSITION,
SN07jd,SN2007jd,0.0727,44.97227,1.16063,SN,3,,5.194208200991481,7.187969952756879,SN_POSITION,
SN07jg,SN2007jg,0.037,52.4617,0.05684,SN,10,,0.37585101902549223,0.27610714120114066,SN_POSITION,
SN07jh,SN2007jh,0.04077,54.00642,1.10339,SN,8,,4.8885587975981695,3.9393831976739695,SN_POSITION,
SN07le,SN2007le,0.007,354.70171,-6.52258,SN,2,,17.379234282812977,2.5044430097821264,SN_POSITION,
SN07N,SN2007N,0.013,192.25521,-9.45283,SN,1,,15.382676426217264,4.08683999665237,SN_POSITION,
SN07nq,SN2007nq,0.045,14.38988,-1.38861,SN,2,,21.767296495654936,19.26360582944707,SN_POSITION,
SN07ol,SN2007ol,0.056,24.3487,-0.312,SN,10,,0.10799839875525015,0.11740031523810325,SN_POSITION,
SN07on,SN2007on,0.006,54.7125,-35.57531,SN,9,,41.554341439988896,5.139013420573674,SN_POSITION,
SN07S,SN2007S,0.014,150.13025,4.40728,SN,9,,11.163822439333593,3.190261257692701,SN_POSITION,
SN07so,SN2007so,0.03,41.92971,13.25411,SN,2,,7.797533749755356,4.683590214096783,SN_POSITION,
SN07st,SN2007st,0.021,27.17696,-48.64939,SN,4,,6.132027543754758,2.6063283345659194,SN_POSITION,
SN07ux,SN2007ux,0.031,152.33325,14.99244,SN,4,,6.8205943883249285,4.228274971881828,SN_POSITION,
SN08ae,SN2008ae,0.03,149.01333,10.49967,SN,8,,12.137494067797707,7.290388251462027,SN_POSITION,
SN08ar,SN2008ar,0.026,186.158,10.83817,SN,5,,6.226621260984024,3.2569712746404322,SN_POSITION,
SN08bc,SN2008bc,0.015,144.63012,-63.97378,SN,1,,19.088029015465548,5.837285227343676,SN_POSITION,
SN08bd,SN2008bd,0.03,154.59717,-13.10311,SN,1,,5.787156283300796,3.476056584784479,SN_POSITION,
SN08bi,SN2008bi,0.013,128.97246,0.70642,SN,1,,3.34246649058128,0.8880200923875899,SN_POSITION,
SN08bq,SN2008bq,0.034,100.26046,-38.03861,SN,1,,12.689475948064867,8.596878571658694,SN_POSITION,
SN08bt,SN2008bt,0.015,162.57033,-12.10889,SN,1,,16.420164914605603,5.021429190458327,SN_POSITION,
SN08bz,SN2008bz,0.06,189.74058,11.1295,SN,6,,6.801786773389931,7.884809504474586,SN_POSITION,
SN08C,SN2008C,0.017,104.29779,20.43711,SN,1,,3.6830736125891725,1.2734019674645412,SN_POSITION,
SN08cc,SN2008cc,0.0104,315.87342,-67.18364,SN,1,,8.352011667929197,1.7807744532367857,SN_POSITION,
SN08cd,SN2008cd,0.007,198.7574,-15.95186,SN,1,,4.465318480560696,0.6434768916229315,SN_POSITION,
SN08cf,SN2008cf,0.046,211.88577,-26.55215,SN,1,,3.4646761720623127,3.130582379372105,SN_POSITION,
SN08fl,SN2008fl,0.02,294.18683,-37.55125,SN,1,,15.425082077667346,6.251551236466852,SN_POSITION,
SN08fp,SN2008fp,0.006,109.13583,-29.32547,SN,1,,18.24824583489251,2.256755299151369,SN_POSITION,
SN08fr,SN2008fr,0.048,17.95475,14.64083,SN,11,,0.5921279289333191,0.5569684690149783,SN_POSITION,
SN08fu,SN2008fu,0.052,45.61875,-24.45597,SN,2,,2.6870949800662123,2.7252262428548657,SN_POSITION,
SN08fw,SN2008fw,0.009,157.23321,-44.66544,SN,0,,,,SN_POSITION,
SN08gg,SN2008gg,0.032,21.346,-18.17244,SN,2,,32.70790822183419,20.90553734761078,SN_POSITION,
SN08gl,SN2008gl,0.034,20.22842,4.80531,SN,1,,24.400315670898845,16.53074971664589,SN_POSITION,
SN08go,SN2008go,0.062,332.68679,-20.78811,SN,2,,15.156694247949394,18.113050936253185,SN_POSITION,
SN08gp,SN2008gp,0.033,50.75304,1.36189,SN,2,,17.787140977998913,11.71003791624436,SN_POSITION,
SN08ha,SN2008ha,0.005,353.71954,18.2265,SN,1,,7.551706405434165,0.7792147886309998,SN_POSITION,
SN08hj,SN2008hj,0.038,1.00796,-11.16875,SN,8,,20.674284293179557,15.579575384152527,SN_POSITION,
SN08hu,SN2008hu,0.05,122.3115,-18.65364,SN,3,,7.4084327241692955,7.241702660459194,SN_POSITION,
SN08hv,SN2008hv,0.013,136.89192,3.39225,SN,8,,31.565413310619757,8.386238522760557,SN_POSITION,
