object,ned_resolved_name,redshift,ra_deg,dec_deg
SN05hj,SN2005hj,0.0574,21.7017,-1.23813
SN05hk,SN2005hk,0.013,6.96204,-1.19814
SN05iq,SN2005iq,0.034,359.63542,-18.70917
SN05ir,SN2005ir,0.0764,19.1825,0.79463
SN05kc,SN2005kc,0.015,338.53058,5.56842
SN05ke,SN2005ke,0.005,53.76812,-24.94411
SN05ki,SN2005ki,0.019,160.11758,9.20233
SN05ku,SN2005ku,0.04541,344.928,-0.01373
SN05lu,SN2005lu,0.032,39.01546,-17.26389
SN05M,SN2005M,0.025,144.38483,23.20075
SN05mc,SN2005mc,0.025,126.7765,21.646
SN05na,SN2005na,0.026,105.40258,14.13325
SN05W,SN2005W,0.009,27.69063,21.75989
SN06ax,SN2006ax,0.017,171.01442,-12.29144
SN06bd,SN2006bd,0.026,174.61858,20.52622
SN06bh,SN2006bh,0.011,340.06708,-66.48508
SN06br,SN2006br,0.025,202.5075,13.41578
SN06bt,SN2006bt,0.032,239.12721,20.046
SN06D,SN2006D,0.009,193.14142,-9.77522
SN06dd,SN2006dd,0.006,50.67342,-37.20361
SN06ef,SN2006ef,0.018,31.08129,-8.72839
SN06ej,SN2006ej,0.02,9.74904,-9.01572
SN06eq,SN2006eq,0.05,322.15454,1.22804
SN06et,SN2006et,0.023,10.69092,-23.55844
SN06ev,SN2006ev,0.029,322.74692,13.98922
SN06fw,SN2006fw,0.0835,26.7931,-0.14688
SN06gj,SN2006gj,0.028,49.39917,-1.69172
SN06gt,SN2006gt,0.045,14.07208,-1.62944
SN06hb,SN2006hb,0.015,75.50533,-21.13197
SN06hx,SN2006hx,0.045,18.4888,0.37167
SN06is,SN2006is,0.031,79.39321,-23.78172
SN06kf,SN2006kf,0.021,55.46033,8.15694
SN06lu,SN2006lu,0.068,138.82346,-25.60008
SN06ob,SN2006ob,0.059,27.95046,0.26342
SN06os,SN2006os,0.033,43.75421,16.00967
SN06ot,SN2006ot,0.053,33.77017,-20.76617
SN06py,SN2006py,0.058,340.42521,-0.13692
SN07af,SN2007af,0.005,215.58763,-0.39378
SN07ai,SN2007ai,0.032,243.22392,-21.63019
SN07al,SN2007al,0.012,149.827,-19.47383
SN07as,SN2007as,0.018,141.90004,-80.17756
SN07ax,SN2007ax,0.007,125.68025,22.55469
SN07ba,SN2007ba,0.039,229.17763,7.39661
SN07bc,SN2007bc,0.021,169.81071,20.80903
SN07bd,SN2007bd,0.031,127.88867,-1.19944
SN07bm,SN2007bm,0.006,171.25958,-9.79828
SN07ca,SN2007ca,0.014,202.77421,-15.10183
SN07cg,SN2007cg,0.033,201.38992,-24.65225
SN07hj,SN2007hj,0.014,345.44954,15.5865
SN07hx,SN2007hx,0.0798,31.6115,-0.90012
SN07jd,SN2007jd,0.0727,44.97227,1.16063
SN07jg,SN2007jg,0.037,52.4617,0.05684
SN07jh,SN2007jh,0.04077,54.00642,1.10339
SN07le,SN2007le,0.007,354.70171,-6.52258
SN07N,SN2007N,0.013,192.25521,-9.45283
SN07nq,SN2007nq,0.045,14.38988,-1.38861
SN07ol,SN2007ol,0.056,24.3487,-0.312
SN07on,SN2007on,0.006,54.7125,-35.57531
SN07S,SN2007S,0.014,150.13025,4.40728
SN07so,SN2007so,0.03,41.92971,13.25411
SN07st,SN2007st,0.021,27.17696,-48.64939
SN07ux,SN2007ux,0.031,152.33325,14.99244
SN08ae,SN2008ae,0.03,149.01333,10.49967
SN08ar,SN2008ar,0.026,186.158,10.83817
SN08bc,SN2008bc,0.015,144.63012,-63.97378
SN08bd,SN2008bd,0.03,154.59717,-13.10311
SN08bi,SN2008bi,0.013,128.97246,0.70642
SN08bq,SN2008bq,0.034,100.26046,-38.03861
SN08bt,SN2008bt,0.015,162.57033,-12.10889
SN08bz,SN2008bz,0.06,189.74058,11.1295
SN08C,SN2008C,0.017,104.29779,20.43711
SN08cc,SN2008cc,0.0104,315.87342,-67.18364
SN08cd,SN2008cd,0.007,198.7574,-15.95186
SN08cf,SN2008cf,0.046,211.88577,-26.55215
SN08fl,SN2008fl,0.02,294.18683,-37.55125
SN08fp,SN2008fp,0.006,109.13583,-29.32547
SN08fr,SN2008fr,0.048,17.95475,14.64083
SN08fu,SN2008fu,0.052,45.61875,-24.45597
SN08fw,SN2008fw,0.009,157.23321,-44.66544
SN08gg,SN2008gg,0.032,21.346,-18.17244
SN08gl,SN2008gl,0.034,20.22842,4.80531
SN08go,SN2008go,0.062,332.68679,-20.78811
SN08gp,SN2008gp,0.033,50.75304,1.36189
SN08ha,SN2008ha,0.005,353.71954,18.2265
SN08hj,SN2008hj,0.038,1.00796,-11.16875
SN08hu,SN2008hu,0.05,122.3115,-18.65364
SN08hv,SN2008hv,0.013,136.89192,3.39225
SN08ia,SN2008ia,0.022,132.64646,-61.27794
SN08J,SN2008J,0.016,38.60033,-10.84531
SN08O,SN2008O,0.0389,104.39358,-45.81231
SN08R,SN2008R,0.013,45.97375,-11.99428
SN09aa,SN2009aa,0.027,170.92617,-22.27069
SN09ab,SN2009ab,0.011,64.15162,2.76417
SN09ad,SN2009ad,0.028,75.88914,6.65995
SN09ag,SN2009ag,0.009,107.92004,-26.68508
SN09al,SN2009al,0.022,162.84196,8.57853
SN09cz,SN2009cz,0.021,138.75008,29.73531
SN09D,SN2009D,0.025,58.59513,-19.18172
SN09dc,SN2009dc,0.021,237.8005,25.70778
SN09ds,SN2009ds,0.019,177.26677,-9.72902
SN09F,SN2009F,0.013,74.84817,-11.13058
SN09I,SN2009I,0.026,41.29333,-4.71372
SN09le,SN2009le,0.018,32.32142,-23.41244
SN09P,SN2009P,0.025,170.16158,-3.54619
SN09Y,SN2009Y,0.009,220.60235,-17.24631
SN10ae,SN2010ae,0.003662,108.97771,-57.34358
SN2011im,SN2011im,0.016228,341.10583,-0.16722
SN2011iv,SN2011iv,0.006,54.71396,-35.59222
SN2011iy,SN2011iy,0.0043,197.24329,-15.51781
SN2011jh,SN2011jh,0.008,191.81008,-10.06314
SN2011jn,SN2011jn,0.047,194.31162,-17.40014
SN2011jt,SN2011jt,0.028,223.34588,2.96197
SN2012aq,SN2012aq,0.052,223.52138,22.09461
SN2012ar,SN2012ar,0.0283,245.15008,-10.46064
SN2012bl,SN2012bl,0.0187,305.98033,-48.35481
SN2012bo,SN2012bo,0.0254,192.68846,-14.26903
SN2012E,SN2012E,0.02,38.34496,9.58489
SN2012fr,SN2012fr,0.005457,53.39996,-36.12714
SN2012G,SN2012G,0.0258,189.89629,16.58678
SN2012gm,SN2012gm,0.0148,349.40429,14.00247
SN2012hl,SN2012hl,0.0332,12.57398,24.53117
SN2012id,SN2012id,0.0157,70.67142,18.58325
SN2012ij,SN2012ij,0.01,175.066,17.45617
SN2012U,SN2012U,0.01972,31.51804,-55.19375
SN2013fy,SN2013fy,0.0309,324.36296,-47.03189
SN2013hn,SN2013hn,0.0151,207.24654,-30.29069
