object,z,flux_B,flux_V,mag_B,mag_V,B_minus_V,B_minus_V_err,annulus_tag,epoch,zp_err_B,zp_err_V,n_ref_B,n_ref_V
LSQ13dpm,0.05086,20038.353036919336,39721.10689639331,18.709174979999652,18.200400064774115,0.508774915225537,0.052694728935943166,ann20-30,CSP-II,0.0430100803230808,0.0304444978318688,20,23
LSQ13dqh,0.1038,902.7488414868238,2568.4626250086844,21.969015824735727,21.094669190300216,0.8743466344355113,0.06955008839965904,ann20-30,CSP-II,0.0537274682485456,0.0441653025802146,8,8
LSQ14act,0.0591,10584.829937468628,37160.66316847279,19.63161047626607,18.544298764097498,1.087311712168571,0.05005702621878703,ann20-30,CSP-II,0.0399321020612744,0.0301849813456344,21,22
LSQ14age,0.08054,9008.81910778718,18007.446048782225,19.828803258271442,19.32399135550128,0.504811902770161,0.07927204169472467,ann20-30,CSP-II,0.0529462755040724,0.0589978686453759,10,10
LSQ14ahc,0.05086,22875.06288466953,52400.98718252459,18.826343401417418,18.16890162179344,0.6574417796239764,0.0657241339754466,ann20-30,CSP-II,0.0536883431763251,0.0379107319080442,11,11
LSQ14ahm,0.04977,4725.088253855829,14021.5037804088,20.239196666568933,19.54913443118193,0.6900622353870034,0.07570685362628382,ann20-30,CSP-II,0.0607596049590726,0.0451641239393504,10,11
LSQ14ajn,0.02101,247850.31108278048,690101.056320388,16.126236448249383,15.29769547500886,0.8285409732405231,0.09195011275422764,ann20-30,CSP-II,0.049225205411473,0.0776640353555844,4,4
LSQ14asu,0.0684,20051.87641230836,67417.36124733352,18.953743541939193,17.88063298196498,1.0731105599742143,0.07807456056771649,ann20-30,CSP-II,0.044535317586668,0.0641267689447757,9,8
LSQ14auy,0.0825,6129.290987229195,19683.85785181401,20.242404333495422,19.216947019659848,1.0254573138355738,0.09832181133530778,ann20-30,CSP-II,0.0852820570298809,0.0489300452994681,3,3
LSQ14azy,0.0458,80541.51258892947,153381.04552723214,17.315120255263263,16.677501726697102,0.6376185285661613,0.06080263326869096,ann20-30,CSP-II,0.0499949290961637,0.0346044401352845,4,4
LSQ14ba,0.07755,8283.569829820666,16966.39243466203,19.93669540326802,19.396382634025656,0.5403127692423624,0.07162464939978719,ann20-30,CSP-II,0.0522965518685199,0.048940382756019,6,6
LSQ14bjj,0.08114,8062.418172510969,15640.895409477216,20.671881199266025,20.178559114971485,0.4933220842945403,0.0720020138223605,ann20-30,CSP-II,0.0559389457542449,0.0453334792662006,5,5
LSQ14fms,0.078,4112.492142561117,11209.085520765042,20.53089271204925,19.717081717051165,0.8138109949980858,0.09639180411249226,ann20-30,CSP-II,0.0766241768534917,0.0584817528942653,9,9
LSQ14foj,0.04607,4297.001194548281,6253.989020194713,20.570663663745826,20.42016721450216,0.1504964492436649,0.1296064264320858,ann20-30,CSP-II,0.0874201019212829,0.0956846463784456,5,5
LSQ14gfb,0.0527,62399.874113448015,193499.516389178,17.673605306415958,16.707380662348726,0.966224644067232,0.085636526975824,ann20-30,CSP-II,0.0679826794024336,0.0520765787446426,7,7
LSQ14gfn,0.1217,5851.40529393722,17372.602873245105,20.227472176346726,19.26475366490741,0.9627185114393164,0.0845451740522555,ann20-30,CSP-II,0.0331917059839159,0.0777572961811524,11,11
LSQ14gov,0.0896,3812.797533804037,9403.499856442242,20.397490390611203,19.956970277844093,0.44052011276711056,0.27763641487755725,ann20-30,CSP-II,0.2714899103543762,0.0580965355407347,9,7
LSQ14ie,0.08954,3732.7198215799945,7667.205319861076,20.80225932741551,20.294957411387806,0.5073019160277035,0.08136026753053455,ann20-30,CSP-II,0.05186679209712,0.0626843601721696,28,30
LSQ14jp,0.0454,27816.14138726629,81185.2899817455,18.472361357538915,17.624097743016417,0.848263614522498,0.0918367263325936,ann20-30,CSP-II,0.0615108677466382,0.0681938226861002,10,10
LSQ14mc,0.05662,16958.94289568584,38736.975761739646,19.028605999392617,18.42006364672383,0.6085423526687883,0.0718973184154439,ann20-30,CSP-II,0.064542074745381,0.0316787781155363,8,8
LSQ14q,0.06695,7770.078220711343,14397.617325881458,19.890785393101503,19.49933502457932,0.3914503685221824,0.1324230935536642,ann20-30,CSP-II,0.1053325054433262,0.0802554608942853,4,4
LSQ14wp,0.06945,3866.222211522668,8237.908555167973,21.359330687026446,20.641334356638275,0.7179963303881713,0.13482780641308498,ann20-30,CSP-II,0.0599508237960914,0.1207660387208851,7,7
LSQ14xi,0.0508,82078.91485849612,202944.29888935384,17.35069856402006,16.63447587168767,0.7162226923323907,0.08545914597734897,ann20-30,CSP-II,0.0639159374622231,0.0567275820875791,13,13
LSQ15aae,0.0516,8223.017657927014,19954.11318840788,19.945150942744185,19.20669562476248,0.7384553179817033,0.1009397329841494,ann20-30,CSP-II,0.0445152872664386,0.0905937022893856,9,10
